name,image,id,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Tomorrow's Dust,https://i.scdn.co/image/ab67616d0000b27358267bd34420a00d5cf83a49,666PdikRnUzdvjT9p5wWND,Tame Impala,0.616,0.804,0,-5.568,1,0.0427,0.0124,0.0998,0.553,0.627,99.002,audio_features,spotify:track:666PdikRnUzdvjT9p5wWND,https://api.spotify.com/v1/tracks/666PdikRnUzdvjT9p5wWND,https://api.spotify.com/v1/audio-analysis/666PdikRnUzdvjT9p5wWND,326840,4
Capricorn,https://i.scdn.co/image/ab67616d0000b273c54a20fa159b62a804a54d9e,2tKqhcDNVVKXJqllKzrecM,Vampire Weekend,0.563,0.644,7,-3.889,1,0.0318,0.159,0.000311,0.118,0.525,140.022,audio_features,spotify:track:2tKqhcDNVVKXJqllKzrecM,https://api.spotify.com/v1/tracks/2tKqhcDNVVKXJqllKzrecM,https://api.spotify.com/v1/audio-analysis/2tKqhcDNVVKXJqllKzrecM,249560,4
My Girls,https://i.scdn.co/image/ab67616d0000b273a7f85f2df08fbeb6dac5677c,7jZBPuJmkOsfPkwFD30dAA,Animal Collective,0.508,0.953,4,-6.031,0,0.0806,0.256,0.0445,0.929,0.555,119.973,audio_features,spotify:track:7jZBPuJmkOsfPkwFD30dAA,https://api.spotify.com/v1/tracks/7jZBPuJmkOsfPkwFD30dAA,https://api.spotify.com/v1/audio-analysis/7jZBPuJmkOsfPkwFD30dAA,340787,4
"Fantasie In F Minor, Op. 103, D. 940",https://i.scdn.co/image/ab67616d0000b273779b60ced045bfc2595628bf,2YTsPf5ejzVQzAujHlA0Gk,Franz Schubert,0.394,0.106,1,-22.522,1,0.0433,0.991,0.873,0.0875,0.121,117.933,audio_features,spotify:track:2YTsPf5ejzVQzAujHlA0Gk,https://api.spotify.com/v1/tracks/2YTsPf5ejzVQzAujHlA0Gk,https://api.spotify.com/v1/audio-analysis/2YTsPf5ejzVQzAujHlA0Gk,1027907,4
Waters of Nazareth x We Are your Friends x Phantom 2 (WWW),https://i.scdn.co/image/ab67616d0000b27314a99b6cf89499f1c4ca200c,0sibHAYzpx9FJRrGRr137u,Justice,0.372,0.766,7,-5.23,1,0.0757,0.00459,0.000841,0.155,0.151,124.248,audio_features,spotify:track:0sibHAYzpx9FJRrGRr137u,https://api.spotify.com/v1/tracks/0sibHAYzpx9FJRrGRr137u,https://api.spotify.com/v1/audio-analysis/0sibHAYzpx9FJRrGRr137u,391782,4
Brother Sport,https://i.scdn.co/image/ab67616d0000b273a7f85f2df08fbeb6dac5677c,3l0ya5dJI7xnPi3k18mRqa,Animal Collective,0.514,0.977,6,-5.154,1,0.154,0.289,0.0105,0.0707,0.435,132.858,audio_features,spotify:track:3l0ya5dJI7xnPi3k18mRqa,https://api.spotify.com/v1/tracks/3l0ya5dJI7xnPi3k18mRqa,https://api.spotify.com/v1/audio-analysis/3l0ya5dJI7xnPi3k18mRqa,359027,4
Only I Will Remain,https://i.scdn.co/image/ab67616d0000b273166adc280da684b1d54f4126,6yLQmfQLDGtUYHG34W0FcH,Hans Zimmer,0.164,0.0371,11,-22.716,0,0.0346,0.578,0.855,0.115,0.0322,79.975,audio_features,spotify:track:6yLQmfQLDGtUYHG34W0FcH,https://api.spotify.com/v1/tracks/6yLQmfQLDGtUYHG34W0FcH,https://api.spotify.com/v1/audio-analysis/6yLQmfQLDGtUYHG34W0FcH,404360,3
Pink Matter,https://i.scdn.co/image/ab67616d0000b2737aede4855f6d0d738012e2e5,1fOkmYW3ZFkkjIdOZSf596,Frank Ocean,0.392,0.233,11,-11.012,0,0.0587,0.951,0.000322,0.106,0.494,176.569,audio_features,spotify:track:1fOkmYW3ZFkkjIdOZSf596,https://api.spotify.com/v1/tracks/1fOkmYW3ZFkkjIdOZSf596,https://api.spotify.com/v1/audio-analysis/1fOkmYW3ZFkkjIdOZSf596,268813,3
Musique,https://i.scdn.co/image/ab67616d0000b2736421924f3ad8bcb91b14889e,3J7V8Wg2wqqCM3tfpBoSne,France Gall,0.589,0.899,7,-5.902,1,0.0824,0.658,0.00664,0.0631,0.674,103.923,audio_features,spotify:track:3J7V8Wg2wqqCM3tfpBoSne,https://api.spotify.com/v1/tracks/3J7V8Wg2wqqCM3tfpBoSne,https://api.spotify.com/v1/audio-analysis/3J7V8Wg2wqqCM3tfpBoSne,253027,4
In The Flowers,https://i.scdn.co/image/ab67616d0000b273a7f85f2df08fbeb6dac5677c,3uqDfaiaOk3ZdxZUOqqQa9,Animal Collective,0.224,0.753,0,-8.164,1,0.0943,0.0713,0.116,0.404,0.482,110.805,audio_features,spotify:track:3uqDfaiaOk3ZdxZUOqqQa9,https://api.spotify.com/v1/tracks/3uqDfaiaOk3ZdxZUOqqQa9,https://api.spotify.com/v1/audio-analysis/3uqDfaiaOk3ZdxZUOqqQa9,322027,3
Keep On Lying,https://i.scdn.co/image/ab67616d0000b273370c12f82872c9cfaee80193,2UYHP0RQqPFvue0Ygs5Amm,Tame Impala,0.485,0.814,0,-4.894,0,0.0356,0.0783,0.0128,0.273,0.658,123.997,audio_features,spotify:track:2UYHP0RQqPFvue0Ygs5Amm,https://api.spotify.com/v1/tracks/2UYHP0RQqPFvue0Ygs5Amm,https://api.spotify.com/v1/audio-analysis/2UYHP0RQqPFvue0Ygs5Amm,353933,4
Summertime Clothes,https://i.scdn.co/image/ab67616d0000b273a7f85f2df08fbeb6dac5677c,26JkaeeVVIPLquHEsf7YJd,Animal Collective,0.491,0.871,4,-5.564,1,0.0969,0.00164,0.0,0.361,0.322,135.996,audio_features,spotify:track:26JkaeeVVIPLquHEsf7YJd,https://api.spotify.com/v1/tracks/26JkaeeVVIPLquHEsf7YJd,https://api.spotify.com/v1/audio-analysis/26JkaeeVVIPLquHEsf7YJd,274213,4
Good Girl,https://i.scdn.co/image/ab67616d0000b273e734dcbdff57bb5e81f7cd19,7eCyu8EKSTT7GaXI9IVHrF,Jockstrap,0.671,0.871,8,-4.478,1,0.0335,0.0363,0.441,0.0742,0.115,119.992,audio_features,spotify:track:7eCyu8EKSTT7GaXI9IVHrF,https://api.spotify.com/v1/tracks/7eCyu8EKSTT7GaXI9IVHrF,https://api.spotify.com/v1/audio-analysis/7eCyu8EKSTT7GaXI9IVHrF,242363,3
Saturnine,https://i.scdn.co/image/ab67616d0000b27305289cb66dee341e682f010c,2oEzHtai43VJ8KMrWjb8ft,Justice,0.435,0.324,5,-9.937,1,0.306,0.00591,0.0,0.574,0.653,190.481,audio_features,spotify:track:2oEzHtai43VJ8KMrWjb8ft,https://api.spotify.com/v1/tracks/2oEzHtai43VJ8KMrWjb8ft,https://api.spotify.com/v1/audio-analysis/2oEzHtai43VJ8KMrWjb8ft,201533,4
Prep-School Gangsters,https://i.scdn.co/image/ab67616d0000b2731f4e2d002b9d1920339a5109,0NiaHPlgDp7081zSqXuULS,Vampire Weekend,0.711,0.662,10,-3.843,1,0.0262,0.34,0.00774,0.434,0.279,121.105,audio_features,spotify:track:0NiaHPlgDp7081zSqXuULS,https://api.spotify.com/v1/tracks/0NiaHPlgDp7081zSqXuULS,https://api.spotify.com/v1/audio-analysis/0NiaHPlgDp7081zSqXuULS,228547,4
Idontknow,https://i.scdn.co/image/ab67616d0000b273df82bf71a2406f123a417221,7nSBHckG4tTFkp0xqNZDs5,Jamie xx,0.506,0.714,10,-7.802,0,0.291,0.513,0.871,0.053,0.719,160.065,audio_features,spotify:track:7nSBHckG4tTFkp0xqNZDs5,https://api.spotify.com/v1/tracks/7nSBHckG4tTFkp0xqNZDs5,https://api.spotify.com/v1/audio-analysis/7nSBHckG4tTFkp0xqNZDs5,321503,4
I've Been In Love,https://i.scdn.co/image/ab67616d0000b27377619f14cb03e11baf5761d1,7j3zZ2jAjzFD60UjhldhHo,Jungle,0.679,0.506,9,-9.497,0,0.0671,0.421,0.00216,0.434,0.588,114.967,audio_features,spotify:track:7j3zZ2jAjzFD60UjhldhHo,https://api.spotify.com/v1/tracks/7j3zZ2jAjzFD60UjhldhHo,https://api.spotify.com/v1/audio-analysis/7j3zZ2jAjzFD60UjhldhHo,169472,4
OUT WEST (feat. Young Thug),https://i.scdn.co/image/ab67616d0000b273dfc2f59568272de50a257f2f,6gi6y1xwmVszDWkUqab1qw,JACKBOYS,0.802,0.591,8,-4.895,1,0.225,0.0104,0.0,0.196,0.309,139.864,audio_features,spotify:track:6gi6y1xwmVszDWkUqab1qw,https://api.spotify.com/v1/tracks/6gi6y1xwmVszDWkUqab1qw,https://api.spotify.com/v1/audio-analysis/6gi6y1xwmVszDWkUqab1qw,157712,4
Posthumous Forgiveness,https://i.scdn.co/image/ab67616d0000b27358267bd34420a00d5cf83a49,1KcOU0q9AMXV9xi4tSzzCc,Tame Impala,0.367,0.613,7,-5.646,1,0.0297,0.0508,0.00171,0.282,0.0966,153.978,audio_features,spotify:track:1KcOU0q9AMXV9xi4tSzzCc,https://api.spotify.com/v1/tracks/1KcOU0q9AMXV9xi4tSzzCc,https://api.spotify.com/v1/audio-analysis/1KcOU0q9AMXV9xi4tSzzCc,366067,4
